condition,stimulus_string
SENTENCES,A WOMAN IS WALKING ACROSS THE STREET EATING A BANANA WHILE A MAN IS FOLLOWING WITH HIS BRIEFCASE
SENTENCES,A SKIER SLIDES ALONG A METAL RAIL
SENTENCES,A PERSON ON SKIS ON A RAIL AT NIGHT
SENTENCES,A SKIER IN ELECTRIC GREEN ON THE EDGE OF A RAMP MADE OF METAL BARS
SENTENCES,A YELLOW UNIFORMED SKIER IS PERFORMING A TRICK ACROSS A RAILED OBJECT
SENTENCES,A BLOND MAN IS DRINKING FROM A PUBLIC FOUNTAIN
SENTENCES,WET BROWN DOG SWIMS TOWARDS CAMERA
SENTENCES,CLOSEUP IMAGE OF A DOG SWIMMING
SENTENCES,THE FURRY BROWN DOG IS SWIMMING IN THE OCEAN
SENTENCES,A BIG BROWN DOG SWIMS TOWARDS THE CAMERA
SENTENCES,A MAN WEARING BLACK WITH A GRAY HAT HOLDING A PITCHFORK DIRECTS A HORSEDRAWN CART
SENTENCES,A MAN IS LEADING A CLYDESDALE UP A HAY ROAD WITHIN A OLD COUNTRY
SENTENCES,A FARMER FERTILIZING HIS GARDEN WITH MANURE WITH A HORSE AND WAGON
SENTENCES,A WHITE HORSE IS PULLING A CART WHILE A MAN STANDS AND WATCHES
SENTENCES,A SMALL GROUP OF CHURCHGOERS WATCH A CHOIR PRACTICE
SENTENCES,A DOG DROPS A RED DISC ON A BEACH
SENTENCES,A MAN AND A WOMAN ARE WALKING ON A STREET AT THE TOP OF A HILL
SENTENCES,AN ELDERLY MAN IS DRINKING ORANGE JUICE AT A CAFE
SENTENCES,A COUPLE HOLDING HANDS WALKS DOWN A STREET
SENTENCES,A COUPLE WALK THROUGH A WHITE BRICK TOWN
SENTENCES,CHILDREN GOING HOME FROM SCHOOL
SENTENCES,PEOPLE LISTENING TO A CHOIR IN A CATHOLIC CHURCH
SENTENCES,BICYCLISTS WAITING AT AN INTERSECTION
SENTENCES,PEOPLE WAITING AT A LIGHT ON BIKES
SENTENCES,PEOPLE ON BICYCLES WAITING AT AN INTERSECTION
SENTENCES,A MAN WITH A RED SHIRT IS WATCHING ANOTHER MAN WHO IS STANDING ON TOP OF A ATTACHED CART FILLED TO THE TOP
SENTENCES,A BOY IS DRINKING OUT OF A WATER FOUNTAIN SHAPED LIKE A WOMAN
SENTENCES,THREE BIKERS STOP IN TOWN
SENTENCES,TWO PEOPLE LOADING BRUSH ON A TRAILER ATTACHED TO A TRUCK
SENTENCES,A MAN WITH A BEARD WEARING A RED SHIRT WITH GRAY SLEEVES AND WORK GLOVES PULLING ON A ROPE
SENTENCES,A MAN WITH FACIAL HAIR AND A RED AND GRAY SHIRT TUGGING ON A PIECE OF ROPE
SENTENCES,A MIDDLEAGED ORIENTAL WOMAN IN A GREEN HEADSCARF AND BLUE SHIRT IS FLASHING A GIANT SMILE
SENTENCES,AN ASIAN WOMAN IN A BLUE TOP AND GREEN HEADSCARF SMILING WIDELY AS ANOTHER WOMAN ROWS A BOAT IN THE BACKGROUND
SENTENCES,A BOAT WORKER SECURING LINE
SENTENCES,A SMALL GIRL WITH A NECKLACE IS SWIMMING
SENTENCES,A SKATEBOARDER SKATES IN THE POOL
SENTENCES,A COUPLE WHO APPEAR TO BE INDIAN OR PAKISTANI WALK ON A PATH BESIDE A BODY OF WATER THE MOTHER CARRYING A CHILD IN A DIAPER THE FATHER WRAPPED IN A BLANKET WITH THE LOGO OF THE HUMANITARIAN ORGANIZATION SAVE THE CHILDREN
SENTENCES,THERE IS A WOMAN HOLDING A BABY ALONG WITH A MAN WITH A SAVE THE CHILDREN BAG
SENTENCES,A FAMILY WITH A BABY THE FATHER IS WEARING A SAVE THE CHILDREN SIGN
SENTENCES,A FOREIGN FAMILY IS WALKING ALONG A DIRT PATH NEXT TO THE WATER
SENTENCES,A MAN AND A WOMAN ARE STANDING NEXT TO SCULPTURES TALKING WHILE ANOTHER MAN LOOKS AT OTHER SCULPTURES
SENTENCES,GROUP OF YOUNG WOMEN IN DRESSES STROLLING ON THE SIDEWALK
SENTENCES,A MAN WEARING A STRIPED TOP AND JEANS DOES A SKATEBOARD TRICK ON SOME STEPS WHILE A MAN WHO IS HUNCHED OVER PHOTOGRAPHS HIM
SENTENCES,A MAN SQUATTING IN THE FOREGROUND OF A PHOTOGRAPH WHILE TAKING A PHOTOGRAPH OF HIS OWN OF A MAN DOING A SKATEBOARDING KICK FLIP IN MIDAIR ABOVE A SHORT FLIGHT OF STAIRS OUTDOORS
SENTENCES,ONE BIKER IS RUNNING WITH THEIR BIKE WHILE ANOTHER IS RIDING AROUND THEM
SENTENCES,TWO PEOPLE WITH BICYCLES ONE IN FRONT RUNNING WITH A BIKE AND ONE IN BACK RIDING
SENTENCES,A YOUNG MAN DOING A TRICK ON A SKATEBOARD DOWN THE STAIRS WHILE BEING PHOTOGRAPHED
SENTENCES,A LADY IN A BLACK AND WHITE STRIPED SHIRT AND HOLDING A BOUQUET OF FLOWERS LOOKS SERIOUSLY AT TWO GENTLEMEN TALKING ON THE STEPS
SENTENCES,A MAN WALKING PROUDLY DOWN THE STREET
SENTENCES,FOUR TEENAGE BOYS ARE DOING CANNONBALLS INTO A SWIMMING POOL
SENTENCES,THREE MEN STANDING ON GRASS BY THE WATER LOOKING AT SOMETHING ON A TABLE
SENTENCES,A WOMAN STANDS BEHIND AN OUTDOOR GRILL WITH A BLUE BASKET OF FOOD IN HER HANDS
SENTENCES,A LAND ROVER MAKES ITS WAY THROUGH A DEEP POND
SENTENCES,MANY PEOPLE RELAX IN THE YARD
SENTENCES,A CAR SINKING IN WATER
SENTENCES,A MAN WEARING BLACK IS PLAYING AN ELECTRIC GUITAR AT A CONCERT
SENTENCES,A MAN WITH WILD HAIR ROCKS A SHOW PLAYING A GUITAR CENTER STAGE
SENTENCES,WOMAN AND CHILD ON TROLLEY CAR LABELED POWELL AND MARKET AND BAY AND TAYLOR
SENTENCES,TWO FEMALE MEDICAL PROFESSIONALS ONE AFRICAN AMERICAN ONE WHITE LOOKING OVER PAPERWORK IN A HOSPITAL
SENTENCES,TWO LADIES ARE READING THROUGH BINDERS
SENTENCES,A MAN IN THE DISTANCE IS WALKING PAST A BRICK WALL PAINTED WITH WORDS AND GRAFFITI
SENTENCES,A WOMAN AND A CHILD HOLDING ON TO THE RAILING WHILE ON TROLLEY
SENTENCES,A MAN IN A STRIPED POLO SHIRT IS POINTING AND SMILING
SENTENCES,A GUY PERFORMING A BICYCLE JUMP TRICK FOR AN AUDIENCE
SENTENCES,A GRAYHAIRED WOMAN IN A BLUE DRESS COAT WITH SNOWFLAKES ON IT BALANCES SOMETHING ON HER HEAD
SENTENCES,TWO CHILDREN PLAY OUTSIDE IN A FIELD
SENTENCES,ONE MAN SITS INSIDE AND PLAYS THE BANJO THERE ARE TREES BEHIND HIM OUTSIDE
SENTENCES,TWO CHILDREN IN COLORFUL OUTFITS PLAYING IN A FIELD WITH A BIG ROCK IN THE MIDDLE
SENTENCES,TWO YOUNG GIRLS ARE PLAYING OUTSIDE IN A NONURBAN ENVIRONMENT
SENTENCES,TWO CHILDREN IN HATS PLAY IN AN OPEN ROCKY FIELD
SENTENCES,A WOMAN WEARING A GREEN AND PINK DRESS IS DANCING WITH SOMEONE WEARING A BLUE TOP WITH WHITE PANTS
SENTENCES,MAN IN GOLD PANTS LOOKING AT THE CAMERA
SENTENCES,A MAN IN A GOLD SKIRT SITS IN FRONT OF THE COMPUTER
SENTENCES,MAN WEARING BLACK TSHIRT SITTING AT A COMPUTER DESK
SENTENCES,A BEARDED MAN IN A BLACK TSHIRT SITS IN FRONT OF A DESK HOLDING A COMPUTER
SENTENCES,A MAN IN A GOLD FOILS SKIRT SITTING AT A COMPUTER DESK LOOKS AT THE CAMERA WITH HIS HANDS RAISED TO HIS FACE
SENTENCES,A YOUNG GIRL SITTING AT A TABLE WITH A BOWL ON HER HEAD
SENTENCES,A MAN DANCES WITH A FIRE BATON AT NIGHT
SENTENCES,A DOCTOR CHECKS THE STOMACH OF A TODDLER
SENTENCES,YOUNG BLOND WOMAN PUTTING HER FOOT INTO A WATER FOUNTAIN
SENTENCES,A YOUNG WOMAN TRIES TO STICK HER FOOT IN A FOUNTAIN
SENTENCES,A WOMAN IN CAPRI JEANS CROUCHES ON THE EDGE OF A FOUNTAIN WITH HER LEFT FOOT KICKED OUT TO TOUCH THE FALLING WATER
SENTENCES,WOMAN BALANCING ON EDGE OF FOUNTAIN WHILE STICKING HER TOE IN THE WATER
SENTENCES,A COUPLE STROLLS ARM AND ARM AND HAND IN HAND DOWN A CITY SIDEWALK
SENTENCES,A MAN STARE AT A PASSING COUPLE WHILE WALKING DOWN THE BLOCK
SENTENCES,A COUPLE ARE HOLDING HANDS BEHIND THEIR BACKS WHILE WALKING DOWN A STREET AND THE MAN HAS HIS ARM AROUND HER SHOULDER
SENTENCES,A MAN AND A WOMAN ARE HOLDING HANDS AS THEY WALK ALONG A CITY SIDEWALK
SENTENCES,A MAN IN RED STANDS WITH HIS CHILD AT THE BEACH
SENTENCES,NEW SPORT IS BEING PLAYED TO SHOW APPRECIATION TO THE KIDS WHO CAN NOT WALK
SENTENCES,TWO MEN IN WHEELCHAIRS ARE REACHING IN THE AIR FOR A BASKETBALL
SENTENCES,THREE WHEELCHAIR BASKETBALL PLAYERS WEARING TEAM UNIFORMS ARE ATTEMPTING TO REACH THE DESCENDING BASKETBALL WITH OTHER PLAYERS IN THE BACKGROUND
SENTENCES,FOUR GUYS IN WHEELCHAIRS ON A BASKETBALL COURT TWO ARE TRYING TO GRAB A BASKETBALL IN MIDAIR
SENTENCES,THREE DOGS IN DIFFERENT SHADES OF BROWN AND WHITE BITING AND LICKING EACH OTHER
SENTENCES,TWO DOGS PLAYFULLY BITE A THIRD DOG WHICH HAS ITS TONGUE STICKING OUT
SENTENCES,THREE SMALL PUPPIES BITE AND PLAY TOGETHER IN THE GRASS
SENTENCES,TWO DOGS BITING ANOTHER DOG IN A FIELD
SENTENCES,TOURISTS WAITING AT A TRAIN STOP
SENTENCES,A DOCTOR IN BLUE SCRUBS IS PERFORMING AN OPERATION ASSISTED BY TWO MEN AND A WOMAN
SENTENCES,A WOMAN WITH A BLACK JACKET WALKS PAST AN OUTDOOR MOVIE POSTER
SENTENCES,A MAN IN AN ELF HAT HOLDING A WHITE UMBRELLA IS STANDING ON THE SIDEWALK WITH TWO OTHER MEN
SENTENCES,INDIAN LADY AND A GUY IN A BLUE SUIT DANCING IN THE SUNLIGHT
SENTENCES,TWO OLDER MEN ARE TALKING
SENTENCES,A MOUNTAIN BIKER JUMPING A SLOPE OUTDOORS IN A FOREST AREA
SENTENCES,TWO OLDER MEN IN WINTER COATS TALKING OUTSIDE OF A SHOP WITH A GRASSY LAWN COVERED IN A LIGHT COAT OF SNOW IN FRONT OF IT
SENTENCES,TWO ELDERLY MEN HAVING A CONVERSATION SNOW COVERED GRASS IN THE BACKGROUND
SENTENCES,TWO MEN ARE STANDING OUTSIDE AND SNOW IS ON THE GROUND
SENTENCES,TWO OLDER MEN IN COATS ARE STANDING OUTSIDE
SENTENCES,A GENTLEMAN IN A PURPLE SCARF AND HAT IS LOOKING AT MONEY WHILE HOLDING AN ACCORDION
SENTENCES,BMX BIKER JUMPS OVER A RAVINE
SENTENCES,A WHITE BIKE IS TIED TO A STREET SIGN
SENTENCES,A WHITE BIKE IS LEANING AGAINST A POST
SENTENCES,THE BOY LOCKED THE CYCLE AND WENT AWAY
SENTENCES,A CROWDED CITY DURING DAYTIME
SENTENCES,PEOPLE WALKING AROUND IN A BIG CITY
SENTENCES,A BUSY CITY THAT LOOKS LIKE NEW YORK CITY
SENTENCES,A VIEW OF BUILDINGS AND PEOPLE WALKING ACROSS THE STREETS IN TIMES SQUARE NEW YORK CITY
SENTENCES,A WOMAN IS MAKING A CLAY POT
SENTENCES,A BARBER WAITING FOR CUSTOMERS
SENTENCES,A MAN SITTING IN A BARBER SHOP
SENTENCES,A WOMAN PREPARING TO GLAZE A BOWL
SENTENCES,A WOMAN WEARING AN APRON INSPECTS A LARGE POT ON A TABLE FILLED WITH CUPS BOWLS POTS AND BASKETS OF ASSORTED SIZE
SENTENCES,A MODEL POSING TO LOOK AS IF SHES A REAL FEMALE SOCCER PLAYER
SENTENCES,FIREMEN EMERGE FROM A SUBWAY STATION
SENTENCES,EXHAUSTED LOOKING FIREMEN ARE WALKING
SENTENCES,THREE FIREFIGHTERS THE NEAREST FIREFIGHTER IS HOLDING A HELMET IN HIS LEFT HAND
SENTENCES,A MAN WALKING ALONG SIDE A CLEAN UP CREW
SENTENCES,A LITTLE BOY SWIMS UNDERWATER
SENTENCES,A DRIVER IS RACING HIS FORD VEHICLE ON A GRAVEL TRACK
SENTENCES,THREE GUYS AND A GIRL ARE ALL JUMPING IN A POOL TOGETHER
SENTENCES,A LITTLE BOY UNDERWATER IN A POOL HOLDING A PLASTIC DINOSAUR
SENTENCES,A LITTLE BOY SWIMMING UNDERWATER WITH A TOY IN HIS HAND
SENTENCES,A MAN WEARING A WHITE SHIRE SHIRT AND HATE IS RIDING A BUCKING HORSE IN A RODEO
SENTENCES,A SADDLE BRONC RIDER GETS LIFTED OUT OF THE SADDLE BUT KEEPS HIS GRIP DURING HIS RIDE
SENTENCES,A WOMAN WITH A STRAW HAT WORKING ON A STRANGE MACHINE WITH COCONUTS AT HER SIDE
SENTENCES,A MAN WEARING A RICE HAT IS SHUCKING CORN USING A CORN SHUCKER AND IS SURROUNDED BY TREES
SENTENCES,A WOMAN WEARING A CHINESE STRAW HAT OPERATING SOME SORT OF STAINLESS STEEL MACHINE IN WHAT APPEARS TO BE A PARK
SENTENCES,A WOMAN ON THE SIDE OF A STREET IS MAKING FOOD ON HER CART
SENTENCES,A MAN IN BLUE SHORTS AND WITHOUT A SHIRT IS JOGGING DOWN THE ROAD WHILE LISTENING TO HIS IPOD
SENTENCES,WOMEN EXERCISING ONE WOMAN HAS A GREEN MAT AND BLACK OUTFIT ON
SENTENCES,STUDENTS PRACTICING YOGA IN A CLASS SETTING
SENTENCES,PEOPLE ARE STRETCHING ON YOGA MATS
SENTENCES,A GROUP OF PEOPLE ARE DOING YOGA
SENTENCES,MOTORCYCLIST PERFORMING WHILE TWO MEN WATCH
SENTENCES,THE YOUNG MAN IS WAITING WITH OTHERS ON THE SIDEWALK
SENTENCES,TWO PEOPLE POSE FOR THE CAMERA
SENTENCES,A MAN IS SLEEPING ON THE GRASS
SENTENCES,A WHITE AND BROWN DOG IS LEAPING THROUGH THE AIR
SENTENCES,A ROW OF LEGS AND BLACK BOOTS WITH A BOY SITTING AT THE END OF THE ROW
SENTENCES,A MAN IN BLUE LIES ON A MOSTLYBARREN PATCH OF GRASS WHILE SMALL GROUPS OF PEOPLE CONGREGATE IN THE DISTANCE
SENTENCES,VARIOUS PEOPLE HANGING AROUND OUTSIDE OF A BUILDING
SENTENCES,A LITTLE GIRL FOLLOWS TWO GUYS WITH UMBRELLAS DOWN A PATH
SENTENCES,A LADY IS ON THE FLOOR PACKING A SUITCASE
SENTENCES,LITTLE GIRL IN A BLUE AND YELLOW PLAID OUTFIT AND BLUE HAT IS RUNNING ALONG THE TRAIL
SENTENCES,LITTLE GIRL WALKING ALONG A DIRT ROCK AND GRASS PATH WEARING A BLUE HAT MANY STEPS BEHIND TWO PEOPLE WEARING BACKPACKS AND HOLDING UMBRELLAS
SENTENCES,THE BLOND WOMAN IS SEARCHING FOR MEDICAL SUPPLIES IN A SUITCASE
SENTENCES,STACKS OF NEATLY FOLDED CLOTHING COVER MOST OF THIS FLOOR WHILE A WOMAN WITH A BEIGE SHIRT AND JEANS BUSILY FILLS A SUITCASE
SENTENCES,A YOUNG WOMAN PACKS BELONGINGS INTO A BLACK SUITCASE
SENTENCES,PEOPLE GOING FOR A LONG WALK TO THE MOUNTAINS
SENTENCES,A MAN RESTING ON A STREET
SENTENCES,A WOMAN IN COSTUME IS MARCHING WITH A LARGE DRUM
SENTENCES,A MAN CARRYING A LOAD OF FRESH DIRECT BOXES ON CAR WITH WHEELS IN THE CITY STREETS AS A WOMAN WALKS TOWARDS HIM
SENTENCES,A MOTORCYCLIST DOES A NOSE WHEELIE
SENTENCES,A MAN SITTING ON A SCOOTER ON THE CURB
SENTENCES,A MAN STOPPING ON THE SIDEWALK WITH HIS BIKE TO HAVE A SMOKE
SENTENCES,A MAN IS SITTING ON A MOTORCYCLE ON THE SIDEWALK
SENTENCES,MAN SMOKES WHILE SITTING ON A PARKED SCOOTER
SENTENCES,MAN ON THE SIDEWALK SITTING ON A MOTORCYCLE
SENTENCES,A COUPLE WEARING BLACK BURGUNDY AND WHITE DANCE
SENTENCES,PEOPLE IN ORANGE VESTS AND BLUE PANTS WITH A YELLOW STRIPE AT THE BOTTOM AWAIT THE BEGINNING OF A RACE
SENTENCES,A YOUNG MAN AND YOUNG LADY DANCING ON A CARPETED FLOOR WITH A PICTURE FROM THE MOVIE TOY STORY ON A BIG SCREEN IN THE BACKGROUND
SENTENCES,THE SKIER IS WEARING A YELLOW JUMPSUIT AND SLIDING ACROSS A YELLOW RAIL
SENTENCES,A TRACK EVENT HELD BY JP MORGAN CHASE WITH SECURITY
SENTENCES,TWO PEOPLE DANCING WEARING DANCE COSTUMES
SENTENCES,AN ENGLISH FARMER WITH A HORSE PULLED WAGON
SENTENCES,CHILDRENS SOCCER GAME BEING PLAYED WHILE THE SUN SETS IN THE BACKGROUND
SENTENCES,A SOCCER GAME PLAYED BY A BLUE TEAM AND A RED TEAM ON A PERFECTLY MANICURED FIELD AT DUSK
SENTENCES,TWO SOCCER TEAMS ARE COMPETING ON A SOCCER FIELD
SENTENCES,SOCCER TEAMS PLAY ON A FIELD AS THE SUN SETS BEHIND A LINE OF TREES
SENTENCES,TWO MEN SERVING PREPARING FOOD
SENTENCES,A SOCCER GAME OCCURRING AT SUNSET
SENTENCES,WHITE SMALL CHILD WEARING A BROWN AND GRAY STRIPED HOODIE PLAYS AT PARK
SENTENCES,A LITTLE BOY IN BROWN PANTS IS PLAYING ON ROPES AT A PARK
SENTENCES,TODDLER IN STRIPED SWEATSHIRT PLAYS ON ROPE ON PLAYGROUND
SENTENCES,A WOMAN WEARING A PINK HAT IS LOOKING AT A PINK CAR WITH THE TRUCK OPEN
SENTENCES,A MAN IN A BLUE SHIRT IS LOOKING UP
SENTENCES,THREE GIRLS ON AN AMUSEMENT RIDE ENJOYING THEMSELVES
SENTENCES,WOMAN AT WALMART CHECKOUT HAVING HER GROCERIES BAGGED BY AN EMPLOYEE
SENTENCES,BROWN DOG TREADS THROUGH WATER
SENTENCES,A WOMAN IS WAITING WITH CHILDREN AS SHE IS CHECKED OUT AT WALMART
SENTENCES,A BLOND WOMAN WITH TWO CHILDREN IS CHECKING OUT AT A WALMART REGISTER
SENTENCES,A WOMAN SITTING IN A LAUNDROMAT LOOKING AT THE CAMERA
SENTENCES,A YOUNG BOY PADDLES ACROSS THE WATER IN A MAKESHIFT BOAT
SENTENCES,A BASEBALL PLAYER IS ABOUT TO THROW A BASEBALL
SENTENCES,A DOG ZIPS ALONG THE BEACH
SENTENCES,A WHITE DOG RUNS ALONG A ROCKY SHORELINE
SENTENCES,A FUZZY WHITE LAP DOG RUNS ALONG A ROCKY BEACH
SENTENCES,A SMALL WHITE DOG RUNNING ON A PEBBLE COVERED BEACH
SENTENCES,A BASEBALL PLAYER IS PUTTING ALL HIS MIGHT IN TO THROWING A BALL
SENTENCES,CHEERLEADERS ARE ON THE FIELD CHEERING
SENTENCES,A WOMAN HOLDING A BOOMBOX
SENTENCES,A WOMAN IN A BLUE SHIRT AND GREEN HAT LOOKS UP AT THE CAMERA
SENTENCES,CHEERLEADERS ARE DOING A CHEER AT A FOOTBALL FIELD
SENTENCES,AN EXCITED SMILING WOMAN STANDS AT A RED RAILING AS SHE HOLDS A BOOMBOX TO ONE SIDE
SENTENCES,A LADY IS KNEELING WEARING A BLUE SHIRT
SENTENCES,THE SILHOUETTE OF THREE PEOPLE IN FRONT OF A WALL
SENTENCES,TWO PEOPLE WEARING BLUE CLOTHING ARE MAKING HAND GESTURES NEXT TO ONE ANOTHER
SENTENCES,A SPOTTED BLACK AND WHITE DOG SPLASHES IN THE WATER
SENTENCES,A LARGE GROUP WEARING PINK SHIRTS WAVES TO ONLOOKERS
SENTENCES,A BABY IS PLAYING WITH A STRAND OF BEADS
SENTENCES,PEOPLE ARE ON A STAGE PERFORMING
SENTENCES,A WOMAN IS RUNNING A MARATHON IN A PARK
SENTENCES,A GROUP OF PEOPLE POINT FORWARDS WHILE PERFORMING SOME KIND OF ACT
SENTENCES,SEVERAL PEOPLE ARE DANCING TOGETHER IN SYNC
SENTENCES,GROUP OF PEOPLE DANCING
SENTENCES,AN ADULT COUPLE ENJOYS TIME IN A HOT TUB
SENTENCES,AN AVERAGE LOOKING MAN IS PLAYING THE GUITAR
SENTENCES,TWO TAN AND WHITE DOGS AND ONE TAN DOG RACING DOWN THE BEACH NEAR THE WATER
SENTENCES,A MAN AND WOMAN ARE WALKING DOWN THE STREET HOLDING HANDS
SENTENCES,A MAN IS USING HIS COMPUTER WHILE SEATED AT A DESK
SENTENCES,A CAMERA CREW IS FILMING TWO WOMEN IN FORMAL DRESSES SITTING ON A BLANKET IN THE MIDDLE OF A PARK
SENTENCES,MAN SITTING DOWN PLAYING A GAME OF CHESS ALONE
SENTENCES,YOUNG WOMAN RUNNING AS TWO GUYS IN THE BACK TRY TO CATCH UP TO HER
SENTENCES,A MAN IN A BLUE SHIRT SITS OUTSIDE ALONE WITH A CHESSBOARD LAID OUT IN FRONT OF HIM
SENTENCES,A MAN DRESSED IN BLUE SHIRT AND SHORTS SITS AT A TABLE WHILE PLAYING BLACK IN CHESS
SENTENCES,A YOUNG MAN IN A BLUE BLAZER AND SHORTS SITS ALONE IN FRONT OF TABLE WITH A CHESS GAME SET UP
SENTENCES,A YOUNG ASIAN MAN SITS BEHIND A SET CHESSBOARD WAITING FOR THE OTHER PLAYER TO ARRIVE
SENTENCES,TWO YOUNG MEN DRINK BEER LEANING ON A GRAFFITIED WALL
SENTENCES,A MAN BEING AIRLIFTED TO SAFETY AFTER BEING IN DANGER
SENTENCES,PEOPLE IN A MEETING SETTING PAYING ATTENTION TO A SPEAKER IN AN ORANGE SHIRT
SENTENCES,A MEETING OF YOUNG PEOPLE SITTING AT A CONFERENCE TABLE
SENTENCES,A WOMAN IN A RED SHIRT IS SPEAKING AT A TABLE IN A ROOM WHERE THREE OTHER PEOPLE ARE LISTENING TO HER
SENTENCES,A WOMAN TALKS TO TWO OTHER WOMEN AND A MAN WITH NOTEPADS IN AN OFFICE BUILDING WITH LARGE WINDOWS
SENTENCES,A CLASSROOM OF STUDENTS DISCUSSING LECTURE
SENTENCES,A MAN HOLDS A CLIPBOARD AND A PEN AS A WOMAN LOOKS AT THEM
SENTENCES,A MAN WITH A BRIGHT GREEN SHIRT IS TALKING TO A WOMAN IN A PINK SHIRT
SENTENCES,A MAN IN A GREEN SHIRT HOLDS OUT A CLIPBOARD FOR A WOMAN IN PINKS ATTENTION
SENTENCES,A MAN IN A BRIGHT GREEN SHIRT SHOWS A WOMAN IN A BRIGHT PINK SHIRT SOMETHING ON A CLIPBOARD
SENTENCES,A MAN ON A STREET IN A BRIGHT TSHIRT HOLDS SOME SORT OF TABLET TOWARDS A WOMAN IN A PINK TSHIRT AND SHADES
SENTENCES,A CHILD WITH A YELLOW CUP AND MILK ALL OVER HIS FACE
SENTENCES,TWO BAREFOOT MEN ARE PLAYING ON A GREEN LAWN OUTSIDE A BUILDING WITH OTHER PEOPLE IN THE BACKGROUND
WORDS,JUMPS AIRPLANE ON A DOWN PERSON OVER BROKEN A A HORSE
WORDS,HORSE A AIRPLANE JUMPS BROKEN PERSON A DOWN A OVER ON
WORDS,ON A HORSE PERSON BROKEN DOWN A JUMPS A OVER AIRPLANE
WORDS,WAVING AND CAMERA CHILDREN SMILING AT
WORDS,CHILDREN SMILING WAVING AND AT CAMERA
WORDS,AT SMILING AND WAVING CHILDREN CAMERA
WORDS,MIDDLE JUMPING THE IS SKATEBOARD BRIDGE OF ON IN A RED A BOY
WORDS,SKATEBOARD JUMPING RED A IS ON BRIDGE MIDDLE A THE BOY OF IN
WORDS,BRIDGE BOY RED JUMPING MIDDLE A IS ON OF A SKATEBOARD IN THE
WORDS,TABLE IN COLORED A MAN SITS WHILE THE JUICE EMPLOYEES IN IN COFFEE WITH AN ORANGE AT BACKGROUND SHOP SHIRTS A HIS BRIGHT SMALL SMILE OLDER
WORDS,IN SHIRTS SHOP COLORED JUICE WITH OLDER TABLE COFFEE A SMALL IN AT A BRIGHT WHILE HIS ORANGE BACKGROUND AN THE IN MAN SMILE EMPLOYEES SITS
WORDS,A TABLE SHIRTS BACKGROUND COFFEE IN MAN AN JUICE BRIGHT SMALL WITH SHOP OLDER A ORANGE IN COLORED HIS IN WHILE EMPLOYEES SITS AT SMILE THE
WORDS,ANOTHER WOMEN ARE HUGGING ONE TWO BLOND
WORDS,ANOTHER ONE HUGGING BLOND WOMEN TWO ARE
WORDS,TWO WOMEN ANOTHER ARE HUGGING ONE BLOND
